Type,Time,Size
media,1710065363861,737
media,1710065363862,2185
fec,1710065363862,2183
media,1710065363863,739
media,1710065363863,2187
media,1710065363864,728
fec,1710065363864,1450
media,1710065363865,2183
media,1710065363866,737
fec,1710065363867,737
media,1710065363867,2187
media,1710065363867,732
media,1710065363868,740
media,1710065363868,2179
fec,1710065363869,2187
media,1710065363869,732
media,1710065363869,734
media,1710065363870,2185
media,1710065363870,1448
fec,1710065363871,732
media,1710065363871,740
media,1710065363871,2186
media,1710065363872,733
media,1710065363872,732
fec,1710065363873,740
media,1710065363873,2183
media,1710065363873,730
media,1710065363874,738
media,1710065363874,2185
fec,1710065363875,2183
media,1710065363875,737
media,1710065363875,738
media,1710065363876,2188
media,1710065363876,728
fec,1710065363876,737
media,1710065363877,738
media,1710065363877,2180
media,1710065363877,1447
media,1710065363878,738
fec,1710065363878,738
media,1710065363879,2186
media,1710065363880,740
media,1710065363880,2180
fec,1710065363880,2186
media,1710065363881,733
media,1710065363881,736
media,1710065363882,2185
media,1710065363883,740
media,1710065363883,2184
media,1710065363883,736
media,1710065363884,731
fec,1710065363884,740
media,1710065363885,2185
media,1710065363885,1444
media,1710065363885,738
media,1710065363886,2186
fec,1710065363887,2185
media,1710065363887,734
media,1710065363887,739
media,1710065363888,726
fec,1710065363889,734
media,1710065363889,736
media,1710065363890,2182
media,1710065363890,731
media,1710065363891,738
fec,1710065363891,736
media,1710065363891,2188
media,1710065363892,733
media,1710065363893,2179
fec,1710065363893,2188
media,1710065363894,1446
media,1710065363894,734
media,1710065363894,2184
fec,1710065363896,1446
media,1710065363896,739
media,1710065363897,2185
media,1710065363897,735
media,1710065363897,733
media,1710065363899,738
media,1710065363899,731
media,1710065363899,2185
fec,1710065363900,2184
media,1710065363900,737
media,1710065363901,737
media,1710065363901,2187
fec,1710065363902,737
media,1710065363902,737
media,1710065363903,2181
media,1710065363903,734
media,1710065363903,739
media,1710065363904,2187
media,1710065363905,735
media,1710065363905,740
media,1710065363906,2178
fec,1710065363907,2187
media,1710065363907,732
media,1710065363907,735
media,1710065363908,2184
media,1710065363908,733
fec,1710065363909,732
media,1710065363909,741
media,1710065363909,2185
media,1710065363910,1450
media,1710065363910,732
fec,1710065363911,741
media,1710065363911,730
media,1710065363912,736
media,1710065363912,2185
fec,1710065363913,2185
media,1710065363913,1365
media,1710065363914,2186
media,1710065363914,728
media,1710065363914,737
fec,1710065363915,1365
media,1710065363915,2183
media,1710065363916,733
media,1710065363916,2188
fec,1710065363917,2183
media,1710065363917,1443
media,1710065363918,740
media,1710065363918,2178
media,1710065363919,732
fec,1710065363919,1443
media,1710065363920,733
media,1710065363920,2185
media,1710065363921,734
media,1710065363921,740
fec,1710065363922,733
media,1710065363922,2186
media,1710065363922,736
media,1710065363923,2182
fec,1710065363924,2186
media,1710065363924,730
media,1710065363925,737
media,1710065363925,2184
media,1710065363926,1450
fec,1710065363926,730
media,1710065363927,738
media,1710065363927,2188
media,1710065363927,728
media,1710065363928,738
fec,1710065363928,738
media,1710065363929,2181
media,1710065363929,737
media,1710065363930,2186
fec,1710065363930,2181
media,1710065363931,734
media,1710065363931,739
media,1710065363931,2180
media,1710065363932,732
fec,1710065363932,734
media,1710065363933,2185
media,1710065363933,1448
media,1710065363934,741
fec,1710065363934,736
media,1710065363935,2185
media,1710065363935,732
media,1710065363936,731
media,1710065363937,2184
fec,1710065363938,2185
media,1710065363938,728
media,1710065363938,738
media,1710065363939,2186
media,1710065363939,735
fec,1710065363940,728
media,1710065363941,739
media,1710065363941,2187
media,1710065363942,727
media,1710065363942,737
fec,1710065363942,739
media,1710065363943,2182
media,1710065363943,1446
media,1710065363943,737
media,1710065363944,2187
fec,1710065363944,2182
media,1710065363945,732
media,1710065363945,741
media,1710065363945,2179
fec,1710065363946,732
media,1710065363947,734
media,1710065363947,2185
media,1710065363947,735
media,1710065363948,739
media,1710065363949,2185
media,1710065363949,733
media,1710065363950,732
media,1710065363950,2184
fec,1710065363951,2185
media,1710065363951,5661
media,1710065363952,738
media,1710065363952,735
media,1710065363953,2180
fec,1710065363953,5661
media,1710065363954,2180
media,1710065363955,1364
fec,1710065363955,738
media,1710065363956,2813
media,1710065363957,4164
media,1710065363957,4064
fec,1710065363958,2809
